page,Tên khác,Địa chỉ,Tọa độ,Lễ hội,Phân loại,Ngày công nhận,Quyết định,Thành lập,Quốc gia,Tôn giáo,Tông phái,Khởi lập,Quản lý,Trụ trì,Trang web,Tôn kính,Người sáng lập,Tên cũ,Dạng,Phong cách,Địa điểm,Thành phố,Khởi công,Hoàn thành,Khánh thành,Trùng tu,Diện tích sàn,Kích thước,Đường kính,Kiến trúc sư,Chủ đầu tư,Hệ thống kết cấu,Kỹ sư,Tỉnh,Kiểu dáng kiến trúc,Tên chính thức,Tiêu chuẩn,Tham khảo,Công nhận,Diện tích,Vùng đệm,"Vị trí Tháp Đồng Dương trên bản đồ Việt Nam


Tháp Đồng Dương",Xây dựng,Vị trí,Tình trạng,Thờ,Phân cấp,Website,Thầy,Công tích,Một phần của,Khám phá,Thánh tích,Được thờ vì,Tuyến đường,Bắc qua,Tên tự,Di tích,Mở rộng,"Mã IATA-

Mã ICAO-",Mã IATA-,Kiểu sân bay,Độ cao,"Hướng

Chiều dài

Bề mặt


m

ft


02

2001

6565

Asphalt",Hướng,m,02,Thờ phụng,Tôn tạo,Quá trình xây dựng,Hồ sơ tham khảo,Vùng,Thị xã,Tổng cộng,Mật độ,Mã hành chính,Khu vực,Kiểu hồ,Nguồn cấp nước chính,Nguồn thoát đi chính,Lưu vực,Quốc gia lưu vực,Độ dài tối đa,Độ rộng tối đa,Chu vi,Diện tích bề mặt,Độ sâu trung bình,Các đảo,Khu dân cư,Bao gồm,Vùng được công nhận,Chưởng quản,Chi phí xây dựng,Chi phí trùng tu,Chiều cao,Kích thước khác,Ban quản lý,Sử dụng,Sở hữu,Phá dỡ,Phá hủy,Nhà thầu chính,Toạ độ,Thành phố gần nhất,Diện tích ban đầu,Diện tích hiện nay,Diện tích mở rộng,Diện tích sau mở rộng,Người thành lập,Xây dựng bởi,Vật liệu,Xây dựng cho,Mục đích ban đầu,Tổng mức đầu tư,Giai đoạn trùng tu,Mục đích hiện tại,Phong cách kiến trúc,Thời gian tham quan,Lượng tham quan,Cơ quan quản lý,Loại,Ngày nhận danh hiệu,Tên chính xác,Vị thần chính,Người xây dựng,Xây mới,Lễ hội chính,Chữ Hán,Tên khác,Tọa độ,Vị trí,Xây dựng,Đời vua,Tình trạng,Chức năng,Kiểm soát bởi,Xây dựng bởi,Trận đánh/chiến tranh,Sự kiện,Chỉ huy hiện tại,Đơn vị đồn trú,Chủ sở hữu,Số cửa vào,"Vị trí Tháp Hòa Lai trên bản đồ Việt Nam


Tháp Hòa Lai",Sự kiện,Núi,Phối thờ,Đời vua,Sử dụng bởi,Người thiết kế,Năm thiết kế,Giai đoạn sản xuất,Số lượng chế tạo,Khối lượng,Chiều dài,Chiều rộng,Bệ pháo,Xoay ngang,Ngày xây dựng,Chức năng,Phá hủy,Dài,Cao,Kiểu,Vùng UNESCO,Rộng,Tác giả,Ngôn ngữ,Thể loại,Kiểu sách,Một phần của,Nguyên liệu,Thành lập,Tượng Chúa Kitô Vua,Chủ quản,Thiết kế,Chịu trách nhiệm giai đoạn 1,Chịu trách nhiệm giai đoạn 2,Điện thoại,Loại đền,"Vị trí Tháp Po Klong Garai trên bản đồ Việt Nam


Tháp Po Klong Garai",Được xây dựng,Sửa chữa lại,Bộ sưu tập,Giám đốc,Ngân quỹ,Loại bệnh viện,Giường,Mở cửa,Tên chùa:,Địa chỉ:,Người cúng đất:,Người xây dựng:,Năm xây dựng:,Năm trùng tu:,Trụ trì tiền nhiệm:,Trụ trì đương nhiệm:,Pháp môn:,Chủ trương:,Trường phái,Kỹ sư xây dựng,Tọa độ địa lý,Người sáng tạo,Bề mặt khu vực,Nghi thức,Hướng mặt tiền,Dạng chỗ ngồi,Số chỗ ngồi,Nhà thiết kế khác,Mã trường,Hiệu trưởng,Phó hiệu trưởng,Khẩu hiệu,Nhân viên,Giáo viên,Cấp,Bài hát,Số học sinh,Khuôn viên,Diện tích mặt nước,Diện tích khuôn viên,Phụ trách,Chỉ huy đã qua,Diện tích quy hoạch và tôn tạo,Diện tích bảo vệ,Ngày,Bắt đầu,Kết thúc,Tần suất,Năm sự kiện,Sự kiện quan trọng,Cấp sân ga,Đã mở,Đã đóng,Thượng nguồn,Cửa sông,Độ dài,Kiểu cầu,Số nhịp,Đã thông xe,Năm thánh hiến,Nhà đầu tư,Giáo phái,Giáo hội hoặc trạng thái tổ chức,Lãnh đạo,Số tầng,Tên thường gọi,Tên theo mật danh chiến trường,Tên theo địa danh,"Vị trí Tháp Liễu Cốc trên bản đồ Việt Nam


Tháp Liễu Cốc",Tình trạng di sản,Đóng cửa,Tiêu chí,Nam,Bắt đầu xây dựng,Nổi tiếng vì,"Vị trí Tháp Dương Long trên bản đồ Việt Nam


Tháp Dương Long",Cao độ bề mặt,"Vị trí Tháp Nhạn trên bản đồ Việt Nam


Tháp Nhạn",Tổng số đảo,Đảo chính,Địa phương,Dân số,Độ sâu,Độ dài,Địa chất,Danh sách cửa vào,Nguy hiểm,Khảo sát hang động,Huyện,Trụ sở UBND,Khe Sanh Vị trí thị trấn Khe Sanh trên bản đồ Việt Nam,"Vị trí Tháp Bánh Ít trên bản đồ Việt Nam


Tháp Bánh Ít","Vị trí Tháp Phú Lốc trên bản đồ Việt Nam


Tháp Phú Lốc",Tuyến,E-mail
Miếu Đại Trung,,"làng Guột, xã Việt Hùng, huyện Quế Võ, tỉnh Bắc Ninh, Việt Nam",,,,,,1708,,,,,,,,,Nguyễn Đức Uyên,,,,,,,,,,,,,,,,,,,,,,,2082m²,,,,,,,,,,,,,,Danh tướng Lê trung hưng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Điện Voi Ré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miếu và Điện,,,,,,,,,Quần thể di tích cố đô Huế,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Điện Voi Ré,Trợ Oai Tượng Võ Linh Ứng Hộ Tượng chi thần,vua Gia Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đình Phú Vĩnh,,"Lịch Đợi, Phường Đúc, Huế, Việt Nam",,23 tháng 6 âm lịch,,,,1825,,,,,,,,,Minh Mạng,,,,,,,,,,,,,,,,,,,,,,,,,,,,bỏ hoang,,,,,,,,,,,,,,,,,,,,,,,,"1903, 1937",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hưng Tổ miếu (Hoàng thành Huế),,"Huế, Việt Nam",,,Di sản văn hóa,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IV,,,,,,,,,nhân vật lịch sử,,Trang mạng chính thức,,,Quần thể di tích Cố đô Huế,,,,,,,,,,,,,,,,,,,,678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miếu Bà Chúa Xứ Núi Sam,,"Phường Núi Sam, thành phố Châu Đốc, tỉnh An Giang, Việt Nam",,Lễ hội Vía Bà Chúa Xứ Núi Sam: 23 – 27/4 âm lịch hàng năm,Danh lam thắng cảnh,10 tháng 7 năm 1980,92-VHTT/QĐ,1824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bà Chúa Xứ,,,,,Khu di tích núi Sam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miếu Gia Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miếu Lịch đại đế vương,,"Lịch Đợi, Phường Đúc, Huế, Việt Nam",,tháng 2 âm lịch,,,,1823,,,,,,,,,Minh Mạng,,,,,,,,,,,,,,,,,,,,,,,,,,,,phế tích,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miếu Trầm Lâm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miếu xóm bánh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miếu Quan Đế (Phan Thiết),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phước An Miếu,,"Đường Bùi Quốc Khánh, Phường Chánh Nghĩa, Thành phố Thủ Dầu Một, Bình Dương",,,,,,,Việt Nam,,,1906,Họ Lý gốc Phúc Kiến tại Chánh Nghĩa,,,,Họ Lý gốc Phúc Kiến tại Chánh Nghĩa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Thất Phủ Vương Gia Công (Thất Phủ Đại Nhân)- Ông địa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/1 (âm lịch),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thái Tổ miếu (Hoàng thành Huế),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,太祖廟,"Thái Tổ miếu, Thái miếu","16°28′11″B 107°34′49″Đ﻿ / ﻿16,46972°B 107,5803°Đ﻿ / 16.46972; 107.5803",Hoàng thành Huế,1804,Gia Long,Đang phục hồi,Miếu thờ các vị chúa Nguyễn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thế Tổ miếu (Hoàng thành Huế),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thế miếu,,Hoàng thành Huế,1821,Minh Mạng,Đang hoạt động,Miếu thờ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thiên Hậu Cung (Phú Cường),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triệu Tổ miếu (Hoàng thành Huế),,"Huế, Việt Nam","16°28′12″B 107°34′48″Đ﻿ / ﻿16,47°B 107,58°Đ﻿ / 16.470; 107.580",,Di sản văn hóa,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IV,,,,,,,,,nhân vật lịch sử,,Trang mạng chính thức,,,Quần thể di tích Cố đô Huế,,,,,,,,,,,,,,,,,,,,678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đình Phú Cang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chùa Chành,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chùa Hanh Cù,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chùa Múa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chùa Keo (Thái Bình),神光寺,"Xã Duy Nhất, huyện Vũ Thư, tỉnh Thái Bình",,,Di tích lịch sử – văn hóa,28 tháng 4 năm 1962,1419/QĐ-TTg,,Việt Nam,"Phật giáo
Thờ Thánh",,1630,,Đại đức Thích Thanh Quang,https://chuakeo.com.vn,,Hoàng Nhân Dũng,,,,,,,,,,,,,Nguyễn Văn Trụ,,,,,,,,,,,,,,,,,,,,,,,,,,,Thần Quang tự,,,,,,,,,,,"Phật
Dương Không Lộ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bãi đá cổ Nấm Dẩn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bãi đá cổ Sa Pa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bãi đá khắc cổ Khe Hổ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cái Bèo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chùa Linh Sơn (Ba Thê),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chùa Phụng Sơn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cù lao Rùa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Di chỉ Đồng Đậu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Di chỉ khảo cổ ở Việt Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Di chỉ khảo cổ Phùng Nguyên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Di chỉ Nậm Tun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Di chỉ Thạch Lạc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Di tích khảo cổ Gò Cây Thị,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Di tích khảo cổ Nam Linh Sơn Tự,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giồng Cá Vồ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
